"Time","value"
2025-07-30 13:44:45,129.6 K
2025-07-30 13:45:00,127.1 K
2025-07-30 13:45:15,123.4 K
2025-07-30 13:45:30,121.8 K
2025-07-30 13:45:45,119.5 K
2025-07-30 13:46:00,116.5 K
2025-07-30 13:46:15,114.3 K
2025-07-30 13:46:30,112.6 K
2025-07-30 13:46:45,110.3 K
2025-07-30 13:47:00,108.7 K
2025-07-30 13:47:15,105.9 K
2025-07-30 13:47:30,102.8 K
2025-07-30 13:47:45,101.5 K
2025-07-30 13:48:00,98.7 K
2025-07-30 13:48:15,97.5 K
2025-07-30 13:48:30,93.1 K
2025-07-30 13:48:45,91.4 K
2025-07-30 13:49:00,89.9 K
2025-07-30 13:49:15,87.7 K
2025-07-30 13:49:30,85.2 K
2025-07-30 13:49:45,83.2 K
2025-07-30 13:50:00,82.5 K
2025-07-30 13:50:15,82.1 K
2025-07-30 13:50:30,83.1 K
2025-07-30 13:50:45,82.6 K
2025-07-30 13:51:00,82.1 K
2025-07-30 13:51:15,83.5 K
2025-07-30 13:51:30,80.5 K
2025-07-30 13:51:45,81.4 K
2025-07-30 13:52:00,81.1 K
2025-07-30 13:52:15,83.2 K
2025-07-30 13:52:30,81.7 K
2025-07-30 13:52:45,79.1 K
2025-07-30 13:53:00,81.8 K
2025-07-30 13:53:15,80.0 K
2025-07-30 13:53:30,80.1 K
2025-07-30 13:53:45,81.2 K
2025-07-30 13:54:00,80.9 K
2025-07-30 13:54:15,80.2 K
2025-07-30 13:54:30,79.5 K
2025-07-30 13:54:45,80.6 K
2025-07-30 13:55:00,77.2 K
2025-07-30 13:55:15,79.2 K
2025-07-30 13:55:30,80.0 K
2025-07-30 13:55:45,80.4 K
2025-07-30 13:56:00,80.7 K
2025-07-30 13:56:15,80.3 K
2025-07-30 13:56:30,78.4 K
2025-07-30 13:56:45,78.8 K
2025-07-30 13:57:00,79.8 K
2025-07-30 13:57:15,79.5 K
2025-07-30 13:57:30,79.4 K
2025-07-30 13:57:45,80.4 K
2025-07-30 13:58:00,80.3 K
2025-07-30 13:58:15,80.5 K
2025-07-30 13:58:30,80.4 K
2025-07-30 13:58:45,79.4 K
